"id"	"model"	"loglik"	"AIC"	"AICc"	"BIC"	"param.count"	"eigval1"	"eigval2"	"eigval3"	"0_alpha"	"1_alpha"	"sigma0"	"1_sigma.sq"	"theta0"	"theta_se0"	"theta_1"	"theta_se_1"	"fit"	"delta"	"w"
11	"OUMV"	1787.49385603801	-3564.98771207602	-3564.95816997853	-3536.89154499489	5	1100	460	190	0.0985598669410117	0.0985598669410117	0.00337107632916625	0.00312799463256411	0.874788084065417	0.00794867705303194	0.990495646713925	0.00934307510062407	-3564.95816997853	17.2549629137498	0.000179035558433599
11	"OUMVA"	1797.12725610131	-3582.25451220263	-3582.21313289228	-3548.53911170527	6	1100	460	190	0.0982043596611674	0.0956215776834676	0.00262812210781625	0.00315296623433994	0.872995961920656	0.00764395055378577	0.989502665138479	0.00959971427053391	-3582.21313289228	0	0.99955543433861
12	"BM1"	1485.48612568112	-2966.97225136224	-2966.96635165723	-2955.73378452979	2	1000	0	0	0	0	0.00219547020894049	0	0.936384940985522	0.188571560012971	0	0	-2966.96635165723	742.21541330431	3.64172668795819e-162
12	"BMS"	1495.75914611335	-2985.51829222669	-2985.50648701273	-2968.66059197801	3	670	350	0	0	0	0.00196639868516804	0.00263997764523399	0.927967530615973	0.189599659926199	0	0	-2985.50648701273	723.675277948813	3.86586414721582e-158
12	"OU1"	1811.07475715749	-3616.14951431498	-3616.13770910101	-3599.2918140663	3	1400	320	0	0.0875156779374013	0	0.00308435324392296	0	0.902529196369315	0.00656477932745107	0	0	-3616.13770910101	93.0440558605319	3.36570867843034e-21
12	"OUM"	1855.03299707428	-3702.06599414856	-3702.04630910919	-3679.58906048365	4	1500	250	0	0.109075734198694	0.109075734198694	0.00332487918027257	0.00332487918027257	0.855194553705599	0.00659109105216902	0.976120501422802	0.00914305598202203	-3702.04630910919	7.13545585234897	0.0152016940746905
12	"OUMV"	1859.41708709093	-3708.83417418186	-3708.80463208438	-3680.73800710073	5	1100	380	180	0.105887697858137	0.105887697858137	0.00304246747797995	0.00372094603712239	0.856109884675538	0.00655109824614478	0.976335228076945	0.00996443941429329	-3708.80463208438	0.377132877162239	0.446111250508756
12	"OUMVA"	1860.61157213594	-3709.22314427188	-3709.18176496154	-3675.50774377452	6	1100	380	180	0.0992909418244288	0.0979273670408578	0.00259702347165894	0.0036854899417457	0.858293391849886	0.00680247753241189	0.976275708462919	0.0106466649004687	-3709.18176496154	0	0.538687055416554
13	"BM1"	730.889620908641	-1457.77924181728	-1457.77334211227	-1446.54077498483	2	1000	0	0	0	0	0.00474194435493392	0	0.945765186922722	0.284040380922073	0	0	-1457.77334211227	1339.95026154117	1.01127438683674e-291
13	"BMS"	767.354015646179	-1528.70803129236	-1528.69622607839	-1511.85033104368	3	680	340	0	0	0	0.00557267753786678	0.0031019203297714	0.947057697177957	0.29797870867167	0	0	-1528.69622607839	1269.02737757504	2.54435426981991e-276
