"id"	"model"	"loglik"	"AIC"	"AICc"	"BIC"	"param.count"	"eigval1"	"eigval2"	"eigval3"	"X0_alpha"	"X1_alpha"	"sigma0"	"X1_sigma.sq"	"theta0"	"theta_se0"	"theta_1"	"theta_se_1"
"ouwie_Afr_avgl_33"	"OUMA"	30611.5407591287	-61213.0815182573	-61213.0486775348	-61185.5129720181	5	5600000	640000	3400	0.000603283904916991	0.480287119720131	1e-09	1e-09	-650.269433323024	0	1.13379247256119	260455452438.216
"ouwie_Afr_avgl_33"	"OUMVA"	32414.9857406458	-64817.9714812916	-64817.925479101	-64784.8892258045	6	1400	170	25	0.0244321304364086	0.49100847633428	1.00297002692315e-09	0.00155467902695067	-218.175773020972	569898702831241856	1.34952034398868	139788117316248
"ouwie_Afr_avgl_34"	"OUMA"	32175.564796585	-64341.1295931701	-64341.0967524476	-64313.5610469309	5	1.1e+11	3.8e+08	-2.7e+07	1.09306686582572e-09	0.421285090031104	1e-09	1e-09	1.08456005069793e-08	60.4936235648756	0.763718833753982	43153503602.72
"ouwie_Afr_avgl_35"	"OUMA"	14822.3038541818	-29634.6077083635	-29634.574867641	-29607.0391621243	5	1700000	99000	-40000	0.00133665605398864	0.194508818619991	1e-09	1e-09	80780.7217813776	0	1.77659677720518	0.0241744099662003
"ouwie_Afr_avgl_36"	"OUMA"	23455.7007871916	-46901.4015743831	-46901.3687336606	-46873.8330281439	5	6.5e+09	1.5e+07	1300	3.17913207730342	1.39684065436727	1e-09	1e-09	1.79175946922805	8.33295532717747e+41	-9.18923172240922e-17	3.41485664869321e+25
"ouwie_Afr_avgl_37"	"OUMVA"	23112.1856234506	-46212.3712469012	-46212.3252447106	-46179.2889914142	6	1700	46	2.9	3.37260808579184	1.05995586934896	1.00440371669752e-09	1.10722675399245e-09	2.16905370036952	1.13926249105916e+51	-6.21452855976543e-35	55501017062620640
"ouwie_Afr_avgl_37"	"OUMA"	23174.3604939637	-46338.7209879274	-46338.6881472049	-46311.1524416882	5	5.9e+09	4.9e+07	2400	3.36389195290491	1.26535604605986	1e-09	1e-09	2.16905370036952	6.09246273470607e+45	-1.85848371841952e-25	5.40709374760359e+20
"ouwie_Afr_avgl_38"	"OUMVA"	14756.2087394255	-29500.417478851	-29500.3714766604	-29467.3352233639	6	1400	190	27	0.23627399256448	1.11361335104639e-07	1e-09	1.03214150313904e-09	0.348293628573172	0.0409842242530701	-1.04810107668509e-12	2.40615115999811e-15
"ouwie_Afr_avgl_38"	"OUMA"	39975.7919084145	-79941.583816829	-79941.5509761065	-79914.0152705898	5	2.2e+08	2.2e+07	-2e+07	0.000121227886441106	1.3722420162211	1.75517844496173e-09	1.75517844496173e-09	3.12692855142143e-07	0	1.38416509333712	1.04095780624166e+52
"ouwie_Afr_avgl_39"	"OUMVA"	23011.71870477	-46011.43740954	-46011.3914073494	-45978.3551540529	6	1500	180	30	3.03240950331432	1.07090562473394	1e-09	0.485747069269918	1.79175946922805	3.17515160700222e+42	1.8265723717362e-31	299196704115.754
"ouwie_Afr_avgl_39"	"OUMA"	23575.0862295231	-47140.1724590462	-47140.1396183238	-47112.603912807	5	6.3e+09	3.4e+07	580	3.24893517472677	1.26674561472204	1e-09	1e-09	1.79175946922805	9.69589931692915e+42	-7.71721117852629e-27	25197865906081676
"ouwie_Afr_avgl_4"	"OUMA"	14764.8147134205	-29519.6294268409	-29519.5965861184	-29492.0608806017	5	1400000	47000	31	0.0220112859436517	0.228120102221517	1e-09	1e-09	2.25680395349859e-10	2.34290818717451e-12	1.87774007647741	0.0192672155979581
"ouwie_Afr_avgl_4"	"OUMVA"	22857.8597491096	-45703.7194982192	-45703.6734960286	-45670.6372427321	6	1400	210	26	3.37379562846103	1.47049141651135	1e-09	1e-09	1.79175946922805	9.7490595982582e+53	-2.34932672401052e-43	0
"ouwie_Afr_avgl_40"	"OUMA"	23233.5996074919	-46457.1992149838	-46457.1663742613	-46429.6306687446	5	6.5e+09	6900000	1100	3.19070990127885	1.43270093360751	1e-09	1e-09	1.79175946922805	3.47388594752793e+33	1.86874478872396e-21	83632032.6549564
"ouwie_Afr_avgl_40"	"OUMVA"	23783.2762131639	-47554.5524263278	-47554.5064241372	-47521.4701708408	6	1700	53	2.3	2.96501938867905	3.37997960004551e-09	1.00070010613351e-09	67.590663670198	1.79175946922805	8.93730811692253e+59	-2.48062828327269e-84	0
"ouwie_Afr_avgl_41"	"OUMVA"	23140.0351022645	-46268.0702045289	-46268.0242023383	-46234.9879490419	6	1400	170	27	3.48513281367067	1.4385841957474	1.00983777683898e-09	0.000439851502326434	1.94591014905531	684238445513.255	1.69103302322658e-90	5.94616255887181e-79
"ouwie_Afr_avgl_41"	"OUMA"	23348.4566577783	-46686.9133155567	-46686.8804748342	-46659.3447693175	5	5.6e+09	2.2e+07	2400	3.47544401548036	1.52193318414667	1e-09	1e-09	1.94591014905531	117622097821.614	2.05393148232627e-86	1.24151533846698e-75
"ouwie_Afr_avgl_42"	"OUMVA"	14521.4328412392	-29030.8656824784	-29030.8196802878	-28997.7834269914	6	1400	200	28	0.00180186896400902	0.128602936540996	1e-09	0.000172648068531548	0.491152622135706	0.000186586585327191	1.85524219965693	0.779293526850724
"ouwie_Afr_avgl_42"	"OUMA"	14638.9391720567	-29267.8783441135	-29267.845503391	-29240.3097978743	5	1.2e+07	6400	-15000	7.93885149040635e-08	0.198467612336146	1e-09	1e-09	-752083.938221976	325303.998973451	1.75257988783076	0.0180582394059703
"ouwie_Afr_avgl_43"	"OUMA"	23542.758543649	-47075.517087298	-47075.4842465755	-47047.9485410588	5	5.7e+09	3.7e+07	1700	3.4261281546859	1.30779482350912	1e-09	1e-09	1.79175946922805	4.33396316262866e+46	-9.17994192544836e-25	0
"ouwie_Afr_avgl_43"	"OUMVA"	23543.231687967	-47074.4633759341	-47074.4173737435	-47041.381120447	6	5.6e+09	880	35	3.41509348767301	1.30023229057377	1e-09	1.1877075540314e-09	1.79175946922805	3.57341022000775e+46	5.79387866414696e-25	0
"ouwie_Afr_avgl_44"	"OUMA"	40438.8328917999	-80867.6657835999	-80867.6329428774	-80840.0972373607	5	7.4e+08	4400000	1900	2.13688720830298e-05	0.503543715861879	1.00394581173032e-09	1.00394581173032e-09	-13307.166833959	0	2.53634658281446	0
"ouwie_Afr_avgl_44"	"OUMVA"	599402427.912381	-1198804843.82476	-1198804843.77876	-1198804810.74251	6	1500	160	27	0.167185117394801	0.331507258859449	1.0030593362266e-09	1.02473836653056e-09	210255417.739734	0	12.9403408214432	0
"ouwie_Afr_avgl_45"	"OUMA"	16405.1704784144	-32800.3409568289	-32800.3081161064	-32772.7724105897	5	2e+07	4100000	-2800	0.176264970693341	0.379824621251281	1e-09	1e-09	-1936754.08321805	78109.4814696047	-4.67017723605245	0.113594368800388
"ouwie_Afr_avgl_45"	"OUMVA"	24322.3110192016	-48632.6220384033	-48632.5760362127	-48599.5397829162	6	1700	62	5.6	2.85245196390849	1.59624901734071e-07	1e-09	2.49591145362736e-08	1.94591014905531	1.77018014308286e+20	1.01936215545727e-137	9.27306251563884e-118
"ouwie_Afr_avgl_46"	"OUMV"	-1781.36412230986	3572.72824461972	3572.76108534222	3600.29679085892	5	910	35	-27000	3.09900783601894	3.09900783601894	2.54652601541145	3.24699957156856	0.50429282039361	0.0154888732882273	1.1784483463328	0.087440027512224
"ouwie_Afr_avgl_46"	"OUM"	-1781.2407221663	3570.48144433261	3570.50332617068	3592.53628132397	4	6.2e+09	-7.5e+09	0	3.45906481582932	3.45906481582932	2.86401358704094	2.86401358704094	0.503943319942301	0.0155238335167213	1.17628724032488	0.0776927036466217
"ouwie_Afr_avgl_46"	"OUMVA"	22481.0494508132	-44950.0989016264	-44950.0528994358	-44917.0166461393	6	910	35	-27000	3.39119022817016	1.30457341026145	1.00201790185883e-09	0.000667911349110014	1.79175946922805	4.30526354613425e+48	-1.16523597226845e-24	0
