"","id","model","loglik","AIC","AICc","BIC","param.count","eigval1","eigval2","eigval3","X0_alpha","X1_alpha","sigma0","X1_sigma.sq","theta0","theta_se0","theta_1","theta_se_1","fit","delta","w","data","regime","tree"
"21","ouwie_Afr_avgl_25","OUM",-1794.08494983772,3596.16989967545,3596.19178151352,3618.22473666681,4,5.7e+09,920,0,3.3848949736035,3.3848949736035,2.84310065445985,2.84310065445985,0.511387837225996,0.0156118214701366,1.13279735913077,0.0774950747674226,3596.19178151352,0,0.999999999999825,"empirical","Megafauna","set_trees"
"22","ouwie_Afr_avgl_26","OUMV",-1739.71517856072,3489.43035712143,3489.46319784393,3516.99890336063,5,1500,120,34,0.236026916386559,0.236026916386559,0.220358572723523,0.33448404465584,0.540034859505559,0.0214320057171412,1.23953489255561,0.112240469794321,3489.46319784393,0,0.922845461206568,"empirical","Megafauna","set_trees"
"23","ouwie_Afr_avgl_27","OUM",-1758.45861503546,3524.91723007093,3524.939111909,3546.97206706229,4,1500,60,0,0.253918786732477,0.253918786732477,0.247659266763612,0.247659266763612,0.571615651014711,0.0218923740234127,1.22162179299527,0.0910713449873064,3524.939111909,0,0.706275764335512,"empirical","Megafauna","set_trees"
"24","ouwie_Afr_avgl_28","OUM",-1471.34343829627,2950.68687659253,2950.70875843061,2972.74171358389,4,1300,220,0,0.103914700167775,0.103914700167775,0.0935551916849646,0.0935551916849646,0.673104243076288,0.0315134689672532,1.32642403001705,0.10435088931029,2950.70875843061,0,0.724008134270352,"empirical","Megafauna","set_trees"
"25","ouwie_Afr_avgl_29","OUMV",-1751.88702703296,3513.77405406593,3513.80689478842,3541.34260030512,5,1500,73,30,0.22643980270196,0.22643980270196,0.206518870728721,0.84539610262522,0.531865562639896,0.0210093420659529,1.22466517296964,0.185415115204906,3513.80689478842,0,0.99999999998642,"empirical","Megafauna","set_trees"
"26","ouwie_Afr_avgl_3","OUMV",-1768.34907512579,3546.69815025157,3546.73099097407,3574.26669649077,5,5.6e+09,880,35,3.43826951572424,3.43826951572424,2.78163001027746,3.66128342898004,0.494427389637696,0.0153029812542552,1.18704746580537,0.0885828247108847,3546.73099097407,0,0.589107442665577,"empirical","Megafauna","set_trees"
"27","ouwie_Afr_avgl_30","OUMVA",-412.807709072132,837.615418144263,837.661420334843,870.697673631301,6,5.8e+09,880,37,1.14355622786005,0.00468583591682952,1.10136138023993,0.677646424904784,0.505698180682196,0.0172113313115373,4.2110006935625e-28,1.43320523701005e-29,837.661420334843,0,1,"empirical","Megafauna","set_trees"
"28","ouwie_Afr_avgl_31","OUM",-1671.02313426843,3350.04626853685,3350.06815037493,3372.10110552821,4,1500,130,0,0.194207386477048,0.194207386477048,0.178792580962011,0.178792580962011,0.552633493961177,0.0227359579777406,1.23551177807383,0.0902597216342874,3350.06815037493,0,0.727946440770516,"empirical","Megafauna","set_trees"
"29","ouwie_Afr_avgl_32","OUM",-1775.71360999171,3559.42721998342,3559.4491018215,3581.48205697478,4,5.6e+09,920,0,3.41114328888875,3.41114328888875,2.81787627222212,2.81787627222212,0.496900095312696,0.0155177096559825,1.18658509929612,0.0768809780020417,3559.4491018215,0,1,"empirical","Megafauna","set_trees"
"30","ouwie_Afr_avgl_33","OUM",-1601.08936410342,3210.17872820684,3210.20061004491,3232.2335651982,4,1500,150,0,0.182066587110052,0.182066587110052,0.160561250215443,0.160561250215443,0.565345189519942,0.0237893230466238,1.2625225190092,0.0939409947699664,3210.20061004491,0,0.713016686089639,"empirical","Megafauna","set_trees"
"31","ouwie_Afr_avgl_34","OUM",-1757.57756411686,3523.15512823373,3523.1770100718,3545.20996522508,4,6.2e+09,920,0,3.2165944793687,3.2165944793687,2.59412688702355,2.59412688702355,0.494180039487529,0.0153061672033338,1.12581774127455,0.0760129619392153,3523.1770100718,0,0.937438686536831,"empirical","Megafauna","set_trees"
