Column1;x;PalmSubfamily;accGenus;PalmTribe;;;;;;;;;;SpecName;PalmSubfamily;accGenus;PalmTribe
72;Saribus_chocolatinus;Coryphoideae;Saribus;Corypheae;;;;;;;;;;Areca_congesta;Arecoideae;Areca;Areceae
73;Saribus_merrillii;Coryphoideae;Saribus;Corypheae;;;;;;;;;;Areca_costulata;Arecoideae;Areca;Areceae
74;Saribus_rotundifolius;Coryphoideae;Saribus;Corypheae;;;;;;;;;;Areca_dayung;Arecoideae;Areca;Areceae
75;Lanonia_hexasepala;Coryphoideae;Lanonia;Trachycarpeae;;;;;;;;;;Areca_dransfieldii;Arecoideae;Areca;Areceae
76;Lanonia_magalonii;Coryphoideae;Lanonia;Trachycarpeae;;;;;;;;;;Areca_furcata;Arecoideae;Areca;Areceae
77;Lanonia_dasyantha;Coryphoideae;Lanonia;Trachycarpeae;;;;;;;;;;Areca_gurita;Arecoideae;Areca;Areceae
78;Lanonia_gracilis;Coryphoideae;Lanonia;Trachycarpeae;;;;;;;;;;Areca_hutchinsoniana;Arecoideae;Areca;Areceae
79;Lanonia_centralis;Coryphoideae;Lanonia;Trachycarpeae;;;;;;;;;;Areca_insignis;Arecoideae;Areca;Areceae
80;Lanonia_hainanensis;Coryphoideae;Lanonia;Trachycarpeae;;;;;;;;;;Areca_ipot;Arecoideae;Areca;Areceae
81;Lanonia_calciphila;Coryphoideae;Lanonia;Trachycarpeae;;;;;;;;;;Areca_jugahpunya;Arecoideae;Areca;Areceae
82;Johannesteijsmannia_magnifica;Coryphoideae;Johannesteijsmannia;Trachycarpeae;;;;;;;;;;Areca_kinabaluensis;Arecoideae;Areca;Areceae
83;Johannesteijsmannia_lanceolata;Coryphoideae;Johannesteijsmannia;Trachycarpeae;;;;;;;;;;Areca_klingkangensis;Arecoideae;Areca;Areceae
84;Johannesteijsmannia_altifrons;Coryphoideae;Johannesteijsmannia;Trachycarpeae;;;;;;;;;;Areca_laosensis;Arecoideae;Areca;Areceae
85;Pholidocarpus_kingianus;Coryphoideae;Pholidocarpus;Trachycarpeae;;;;;;;;;;Areca_ledermanniana;Arecoideae;Areca;Areceae
86;Pholidocarpus_macrocarpus;Coryphoideae;Pholidocarpus;Trachycarpeae;;;;;;;;;;Areca_macrocalyx;Arecoideae;Areca;Areceae
87;Pholidocarpus_majadum;Coryphoideae;Pholidocarpus;Trachycarpeae;;;;;;;;;;Areca_mandacanii;Arecoideae;Areca;Areceae
88;Pholidocarpus_sumatranus;Coryphoideae;Pholidocarpus;Trachycarpeae;;;;;;;;;;Areca_minuta;Arecoideae;Areca;Areceae
89;Pholidocarpus_ihur;Coryphoideae;Pholidocarpus;Trachycarpeae;;;;;;;;;;Areca_mogeana;Arecoideae;Areca;Areceae
90;Licuala_pumila;Coryphoideae;Licuala;Trachycarpeae;;;;;;;;;;Areca_montana;Arecoideae;Areca;Areceae
91;Licuala_modesta;Coryphoideae;Licuala;Trachycarpeae;;;;;;;;;;Areca_novohibernica;Arecoideae;Areca;Areceae
92;Licuala_longicalycata;Coryphoideae;Licuala;Trachycarpeae;;;;;;;;;;Areca_oxycarpa;Arecoideae;Areca;Areceae
93;Licuala_bellatula;Coryphoideae;Licuala;Trachycarpeae;;;;;;;;;;Areca_parens;Arecoideae;Areca;Areceae
94;Licuala_radula;Coryphoideae;Licuala;Trachycarpeae;;;;;;;;;;Areca_rheophytica;Arecoideae;Areca;Areceae
95;Licuala_chaiana;Coryphoideae;Licuala;Trachycarpeae;;;;;;;;;;Areca_ridleyana;Arecoideae;Areca;Areceae
96;Licuala_bruneiana;Coryphoideae;Licuala;Trachycarpeae;;;;;;;;;;Areca_riparia;Arecoideae;Areca;Areceae
97;Licuala_orbicularis;Coryphoideae;Licuala;Trachycarpeae;;;;;;;;;;Areca_songthanhensis;Arecoideae;Areca;Areceae
98;Licuala_mattanensis;Coryphoideae;Licuala;Trachycarpeae;;;;;;;;;;Areca_subacaulis;Arecoideae;Areca;Areceae
99;Licuala_pulchella;Coryphoideae;Licuala;Trachycarpeae;;;;;;;;;;Areca_triandra;Arecoideae;Areca;Areceae
100;Licuala_moyseyi;Coryphoideae;Licuala;Trachycarpeae;;;;;;;;;;Areca_triginticollina;Arecoideae;Areca;Areceae
101;Licuala_kamarudinii;Coryphoideae;Licuala;Trachycarpeae;;;;;;;;;;Areca_tunku;Arecoideae;Areca;Areceae
102;Licuala_acutifida;Coryphoideae;Licuala;Trachycarpeae;;;;;;;;;;Areca_vestiaria;Arecoideae;Areca;Areceae
