"","SpecName","Area_code_L3","accGenus","PalmTribe","PalmSubfamily","AverageFruitLength_cm","accAfrica","Americas","Asia","Africa","Madagascar","Pacific","accRealm","area","region","continent","log_BBM_MCC","log_BBM_mean"
"980","Calamus_castaneus","MLY","Calamus","Calameae","Calamoideae",2.5,"0","0","1","0","0","0","Asia","Malaya","Malesia","ASIA-TROPICAL",1.17481364842683,0.986971799310823
"981","Calamus_castaneus","THA","Calamus","Calameae","Calamoideae",2.5,"0","0","1","0","0","0","Asia","Thailand","Indo-China","ASIA-TROPICAL",1.17481364842683,0.986971799310823
"982","Calamus_castaneus","SUM","Calamus","Calameae","Calamoideae",2.5,"0","0","1","0","0","0","Asia","Sumatera","Malesia","ASIA-TROPICAL",1.17481364842683,0.986971799310823
"983","Calamus_ceratophorus","VIE","Calamus","Calameae","Calamoideae",1.9,"0","0","1","0","0","0","Asia","Vietnam","Indo-China","ASIA-TROPICAL",-0.49539811627192,0.743688566253068
"984","Calamus_ciliaris","SUM","Calamus","Calameae","Calamoideae",0.9,"0","0","1","0","0","0","Asia","Sumatera","Malesia","ASIA-TROPICAL",0.415626482654672,0.824627921037101
"985","Calamus_ciliaris","JAW","Calamus","Calameae","Calamoideae",0.9,"0","0","1","0","0","0","Asia","Jawa","Malesia","ASIA-TROPICAL",0.415626482654672,0.824627921037101
"986","Calamus_cockburnii","MLY","Calamus","Calameae","Calamoideae",1,"0","0","1","0","0","0","Asia","Malaya","Malesia","ASIA-TROPICAL",0.76991382668168,0.739036879196514
"987","Calamus_compsostachys","CHS","Calamus","Calameae","Calamoideae",1,"0","0","1","0","0","0","Asia","China Southeast","China","ASIA-TEMPERATE",-0.546010593990064,0.918126830873829
"988","Calamus_comptus","BOR","Calamus","Calameae","Calamoideae",0.7,"0","0","1","0","0","0","Asia","Borneo","Malesia","ASIA-TROPICAL",0.921751259836112,0.832535789033242
"989","Calamus_concinnus","MLY","Calamus","Calameae","Calamoideae",0.8,"0","0","1","0","0","0","Asia","Malaya","Malesia","ASIA-TROPICAL",3.45237514574331,0.683216634517871
