"","area","meanFW_angios","medianFW_angios","max95FW_angios","X","LAT","LONG","accAfrica","max95FL_palms","curr_max95BodySize","mean_abs_BSchange","presNat_max95BodySize","mean_perc_BSchange","MAT","TempSeas","AnnualPrec","PrecSeas","CH_Mean","CH_PercCover","accRealm","log_max95FL_palms_BBM_MCC","log_max95FL_palms_BBMmean","LEVEL_3_CO","sqrt_change"
"23","Chad",3.08909375,2,8.85246450921943,23,15.3611457,18.66460339,1,10.81500555133,191812.070895295,194.309164646465,1190671.72863331,53.59,267.577533293769,4154.49110308508,173.000524973391,313.178029766123,2.82206,0.015624481,"Africa",1.1828,1.1116,"CHA",13.9394822230406
"24","China South-Central",1.79670181818182,0.9,5.5,24,28.51736916,104.6408898,0,5.25883094332759,24603.8451570016,247.711160327924,1395645.54601746,86.95,127.09690789638,6189.89963236594,78.5094860966299,1060.72638370717,28.9272,0.388385862,"Asia",1.2668,1.1159,"CHC",15.7388424074938
"25","Hainan",1.93794652406417,0.96,5.58372765790451,25,19.20103623,109.7420098,0,3,48093.4423706989,0.0328060846560838,44862.1101614122,0.38,239.698806011743,3337.34151342399,72.9127790288089,1738.73914704618,24.293,0.295861167,"Asia",1.3424,1.1242,"CHH",0.181124500430184
"26","China Southeast",1.85522924901186,0.921,5.80367762648616,26,28.08959356,114.4271369,0,3.1663041568704,12112.4416288295,333.747747619048,1784770.34341762,98.72,178.508702926194,7469.62552970945,61.8171205118176,1419.94933789776,24.4796,0.341456831,"Asia",1.31015,1.121,"CHS",18.2687642608647
"27","Tibet",1.04541176470588,0.705,2.40948866163208,27,31.712301,88.11841654,0,2.91906703057529,173517.20266258,169.460360402901,1727011.61309965,66.11,-30.1274360524684,7417.20862268449,113.884286342241,410.973244758223,33.7216,0.009985363,"Asia",1.2707,1.0331,"CHT",13.017694127721
"28","Colombia",2.63007242990654,1.6,8.12041316553022,28,3.899947514,-73.07536081,0,7.5,9669.13724184967,65.4784814162234,105540.662099485,92.66,232.239870476894,471.329934089856,41.3464568454686,2856.97136703341,16.781,0.649436837,"Americas",1.3264,1.20615,"CLM",8.09187749636779
"29","Cameroon",3.68856012658228,2.5,10,29,5.68580436,12.7432535,1,8.84915568068481,53199.6612715503,8.38411866308471,71114.4502934975,13.79,237.437959835421,1279.36973300731,74.8607770747388,1677.18242620264,20.1702,0.49465377,"Africa",1.308,1.123,"CMN",2.89553426211549
"30","Comoros",3.16983333333333,1.464,9.80630717024558,30,-12.08514902,43.97955695,1,7.56962447247576,573.803827013436,0,573.803827013436,0,242.32128673799,1117.12336596123,64.4212179447069,2125.92483006797,20.6124,0.046203764,"Africa",1.25575,1.10575,"COM",0
"31","Congo",4.25440277777778,3.5,11.5,31,-0.840066027,15.22427459,1,8.96204955486414,61790.5638811547,7.90490348837209,71867.0516149728,11.65,239.042940665642,671.174103099601,50.5334822258762,1600.31817730419,18.6136,0.714426131,"Africa",1.301,1.12435,"CON",2.81156602063193
"32","Costa Rica",2.25207236842105,1.3,7.46195756366656,32,9.97052135,-84.18903867,0,3.49698836536212,7086.55354990745,250.956485945399,109939.952585892,98.08,233.88231580553,505.85485382796,55.6118466012729,3073.27060203542,21.6611,0.443642093,"Americas",1.2988,1.2019,"COS",15.8416061668443
