"","LEVEL_3_CO","X","LAT","LONG","accAfrica","max95FL_palms","log_medianFL_palms_BBM_MCC","curr_max95BodySize","mean_abs_BSchange","presNat_max95BodySize","mean_perc_BSchange","MAT","TempSeas","AnnualPrec","PrecSeas","CH_Mean","CH_PercCover","accRealm","log_max95FL_palms_BBM_MCC","log_max95FL_palms_BBMmean"
"35","DJI",35,11.7498128,42.5779403,1,5.0884213032821,2.79441293540744,52951.9356695902,729687.28125,4946418.75903601,98.33,280.546252942991,3423.05651889839,62.3749715763881,183.208470201783,NA,NA,"Africa",1.1284,1.1788
"36","DOM",36,18.89309386,-70.48543447,0,3.00758935343027,2.38951311366229,761.312147110936,12328.1883116883,50703.2509226259,96.88,239.736046538071,1259.02765658595,41.7986776712714,1368.31837434449,19.8836,0.342853271,"Americas",1.4428,1.212
"37","ECU",37,-1.452912352,-78.39320786,0,7,2.59196302453486,9762.09538028478,80325.6331042832,141307.886574468,94.37,202.379744344183,504.3085097822,49.7991191381324,2200.64101129223,19.4683,0.625712647,"Americas",1.31675,1.18475
"38","EHM",38,27.77772472,92.89621011,0,5.68063488599444,1.68093842560827,99822.1643755778,155534.657255639,1652542.44165727,67.52,122.429928868982,5082.93779918485,83.2062151759797,2452.89420536807,39.0494,0.657353103,"Asia",1.2758,1.1416
"39","ELS",39,13.73614532,-88.86560674,0,4.96343083271947,2.41481935252136,7520.95419898746,384589.249259259,1229358.70321977,98.21,251.122536410629,709.173120211812,94.4596031916205,1550.62517663208,23.4014,0.145759525,"Americas",1.3113,1.12705
"40","EQG",40,1.567924247,10.47599925,1,5.96419392262606,2.288288158226,55921.6483506246,0,55921.6483506246,0,230.464168796013,645.228647424704,57.6528684390153,2486.74670193761,20.609,0.949684076,"Africa",1.3155,1.011
"41","ETH",41,8.626139271,39.61601894,1,11.2002774747975,0.567463915809104,90439.2215406529,138799.669525424,373691.619229758,56.1,226.384196528598,1389.29004192295,90.3556423905394,862.069120016298,15.7477,0.043358599,"Africa",1.1124,1.1266
"42","FIJ",42,-17.46392922,160.792175,0,6.54443913303928,3.30053771258888,297.064599560242,0,297.064599560242,0,242.226429580827,1146.51809385732,47.9826525445361,2472.72123068089,NA,NA,"Pacific",1.2424,0.9266
"43","FLA",43,28.65142195,-82.48405094,0,2.02484567313166,2.23767568050786,29321.6017127407,998821.460769231,8138668.30203883,98.89,214.867061188943,4544.03109851937,44.0860547713205,1372.25299098719,20.1819,0.117579076,"Americas",1.463,1.1215
"44","FRG",44,3.924388201,-53.24126696,0,5.78892549780383,1.80746961990363,11264.2823565827,168848.017129463,714830.080711886,97.43,255.29744129911,772.158441912077,46.4555291247702,2672.84311120722,22.8616,0.954636045,"Americas",1.303,1.2385
