"id"	"model"	"loglik"	"AIC"	"AICc"	"BIC"	"param.count"	"eigval1"	"eigval2"	"eigval3"	"X0_alpha"	"X1_alpha"	"sigma0"	"X1_sigma.sq"	"theta0"	"theta_se0"	"theta_1"	"theta_se_1"	"fit"	"delta"	"w"	"threshold"
14	"OUMV"	-1626.98899663881	3263.97799327763	3264.00779953694	3292.02978136919	5	1500	200	26	0.158596042752708	0.158596042752708	0.133913646955909	0.0922144142766193	0.586934546569585	0.0250860034929778	0.952804252763528	0.0798523588797528	3264.00779953694	0	0.683667987560277	"50"
14	"OUMV"	-1619.01029435907	3248.02058871814	3248.05048408435	3276.05749584633	5	1500	200	23	0.159887599992877	0.159887599992877	0.134685195481811	0.0812398454218436	0.585261049939418	0.0249282743317363	0.876843854304038	0.0802987411282628	3248.05048408435	0	0.851892448910364	"25"
15	"OUM"	-1877.62086595347	3763.24173190693	3763.26150452186	3785.70095336578	4	1700	100	0	0.237643453298753	0.237643453298753	0.217986987567604	0.217986987567604	0.547031343641862	0.0201972514181278	1.07331281690722	0.0884776540086358	3763.26150452186	0	0.415244499403107	"75"
15	"OUMV"	-1863.73320974746	3737.46641949492	3737.49622575423	3765.51820758648	5	1700	130	24	0.236506376442185	0.236506376442185	0.219140823428857	0.137647031515239	0.547648550021057	0.0203362236203657	0.944101103029417	0.0758366498394604	3737.49622575423	0	0.851195036962777	"50"
15	"OUMV"	-1855.78185409524	3721.56370819047	3721.59360355669	3749.60061531867	5	1700	120	22	0.239646500625757	0.239646500625757	0.221427302148179	0.121618114439854	0.548227765498848	0.0201966175596366	0.826292399534752	0.0761940384972288	3721.59360355669	0	0.941609860899521	"25"
16	"OUM"	-1718.91750018387	3445.83500036773	3445.85477298266	3468.29422182658	4	1600	190	0	0.161918865528501	0.161918865528501	0.147497898912521	0.147497898912521	0.58406639619358	0.024401901031369	1.14629819920143	0.0943176874487372	3445.85477298266	0	0.645417853385403	"75"
16	"OUM"	-1708.15654763111	3424.31309526222	3424.3329562354	3446.75452573547	4	1600	190	0	0.163109280288107	0.163109280288107	0.148002265330357	0.148002265330357	0.58504862299238	0.0242386951063727	0.986778288585425	0.103007635367747	3424.3329562354	0	0.6830744255023	"50"
16	"OUM"	-1700.66758802744	3409.33517605488	3409.35509637361	3431.76470175744	4	1600	190	0	0.163681508187046	0.163681508187046	0.148147317852257	0.148147317852257	0.583950837762576	0.024182979896281	0.883842086011341	0.108951370617578	3409.35509637361	0	0.677026150613685	"25"
17	"OUM"	-1958.51117403774	3925.02234807547	3925.0421206904	3947.48156953432	4	5.7e+09	50000	0	3.37081125035828	3.37081125035828	2.78374526941323	2.78374526941323	0.500940663741431	0.0147391029445371	1.02048288231787	0.0768275739436497	3925.0421206904	0	0.981346516726889	"75"
17	"OUM"	-1947.42138695854	3902.84277391707	3902.86263489026	3925.28420439032	4	5.7e+09	1000	0	3.37100463397838	3.37100463397838	2.77214529064095	2.77214529064095	0.500464817966876	0.014708304911005	0.864043921701605	0.0803115396705776	3902.86263489026	0	0.517578282787974	"50"
