SpecName;accSpecies;PalmTribe;PalmSubfamily;Climbing;Acaulescent;Erect;StemSolitary;StemArmed;LeavesArmed;MaxStemHeight_m;MaxStemDia_cm;UnderstoreyCanopy;MaxLeafNumber;Max_Blade_Length_m;Max_Rachis_Length_m;Max_Petiole_length_m;AverageFruitLength_cm;MinFruitLength_cm;MaxFruitLength_cm;AverageFruitWidth_cm;MinFruitWidth_cm;MaxFruitWidth_cm;FruitSizeCategorical;FruitShape;FruitColorDescription;MainFruitColors;Conspicuousness;MDG;Africa;Asia;America;Pacific;accRealm;accAfrica;moist0_dry1
Pinanga_brevipes;brevipes;Areceae;Arecoideae;0;1;0;1;0;0;0.5;5;understorey;NA;3.35;NA;1.4;1;NA;NA;0.8;NA;NA;small;globose;green_to_rose-pink;"green;_pink";conspicuous;0;0;1;0;0;ASIA;0;0
Pinanga_brewsteriana;brewsteriana;Areceae;Arecoideae;0;0;1;NA;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
Pinanga_caesia;caesia;Areceae;Arecoideae;0;0;1;1;0;0;3;10;understorey;NA;3;NA;1.25;1.7;NA;NA;1.2;NA;NA;small;NA;orange_red_to_black;"orange;_red;_black";conspicuous;0;0;1;0;0;ASIA;0;0
Pinanga_capitata;capitata;Areceae;Arecoideae;0;0;1;0;0;0;2;5;understorey;8;2.4;2;0.45;1.2;NA;NA;0.7;NA;NA;small;ovoid;purplish-black;black;cryptic;0;0;1;0;0;ASIA;0;0
Pinanga_cattienensis;cattienensis;Areceae;Arecoideae;0;0;1;0;0;0;1.5;2;understorey;NA;2.11;NA;1.21;1.9;1.8;2;0.55;0.5;0.6;small;globose;red-pink;"red;_pink";conspicuous;0;0;1;0;0;ASIA;0;0
Pinanga_celebica;celebica;Areceae;Arecoideae;0;0;1;1;0;0;5;6;understorey;NA;2;NA;0.45;1.5;NA;NA;0.9;NA;NA;small;globose;"purple;_pulp_as_well";purple;cryptic;0;0;1;0;0;ASIA;0;0
Pinanga_chaiana;chaiana;Areceae;Arecoideae;0;0;1;1;0;0;5.5;2.5;canopy;7;2;1.82;0.2;1.35;1;1.7;0.6;NA;NA;small;globose;almost_mature_fruit_greenish_yellow;yellow;conspicuous;0;0;1;0;0;ASIA;0;0
Pinanga_cleistantha;cleistantha;Areceae;Arecoideae;0;0;1;0;0;0;3;0.7;understorey;8;0.3;NA;NA;1.5;NA;NA;1;NA;NA;small;globose;purplish_brown;brown;cryptic;0;0;1;0;0;ASIA;0;0
Pinanga_copelandii;copelandii;Areceae;Arecoideae;0;0;1;1;0;0;10;20;canopy;NA;3;NA;NA;2;1.5;2.5;1;NA;NA;small;elongate;red_turning_deep_purplish-black;"red;_black";conspicuous;0;0;1;0;0;ASIA;0;0
Pinanga_coronata;coronata;Areceae;Arecoideae;0;0;1;0;0;0;10;10;canopy;7;3;2;0.95;1.3;1.1;1.5;0.8;0.6;1;small;ovoid;"yellow_pink_to_black;_on_red_rachis";"yellow;_pink;_black";conspicuous;0;0;1;0;0;ASIA;0;0
