"","variable","P_sign","P","coeff","r.squared","adj.r.squared","tree"
"normalized(I(MAT^2))8","normalized(I(MAT^2))",TRUE,0.0236,0.3,0.142836205562151,0.0714058893589974,50
"(Intercept)29","(Intercept)",TRUE,2e-04,0.765,0.343699745189378,0.289008057288493,51
"factor(accAfrica)110","factor(accAfrica)1",TRUE,2e-04,-0.595,0.343699745189378,0.289008057288493,51
"normalized((sqrt_change))24","normalized((sqrt_change))",TRUE,0.0193,0.235,0.343699745189378,0.289008057288493,51
"normalized(sqrt(TempSeas))26","normalized(sqrt(TempSeas))",TRUE,0.0162,-0.318,0.343699745189378,0.289008057288493,51
"factor(accAfrica)1:normalized(sqrt(CH_Mean))8","factor(accAfrica)1:normalized(sqrt(CH_Mean))",TRUE,0.018,0.61,0.343699745189378,0.289008057288493,51
"normalized((sqrt_change))25","normalized((sqrt_change))",TRUE,1e-04,-0.465,0.405028159811708,0.355447173129351,52
"normalized(sqrt(curr_max95BodySize))18","normalized(sqrt(curr_max95BodySize))",TRUE,0.001,0.456,0.405028159811708,0.355447173129351,52
"normalized(sqrt(PrecSeas))15","normalized(sqrt(PrecSeas))",TRUE,0.0043,0.589,0.405028159811708,0.355447173129351,52
"normalized(sqrt(curr_max95BodySize))19","normalized(sqrt(curr_max95BodySize))",TRUE,5e-04,0.415,0.48494535921963,0.442024139154599,53
"normalized(sqrt(PrecSeas))16","normalized(sqrt(PrecSeas))",TRUE,0,0.758,0.48494535921963,0.442024139154599,53
"normalized((sqrt_change))26","normalized((sqrt_change))",TRUE,0,0.538,0.292730908549417,0.233791817595202,54
"normalized(sqrt(curr_max95BodySize))20","normalized(sqrt(curr_max95BodySize))",TRUE,0.0137,-0.353,0.292730908549417,0.233791817595202,54
"(Intercept)30","(Intercept)",TRUE,0.0045,0.474,0.569030653469067,0.533116541258156,55
"normalized((sqrt_change))27","normalized((sqrt_change))",TRUE,0.0155,-0.199,0.569030653469067,0.533116541258156,55
"normalized(sqrt(curr_max95BodySize))21","normalized(sqrt(curr_max95BodySize))",TRUE,0,0.421,0.569030653469067,0.533116541258156,55
"normalized(sqrt(AnnualPrec))16","normalized(sqrt(AnnualPrec))",TRUE,0.0299,-0.264,0.569030653469067,0.533116541258156,55
"normalized(sqrt(PrecSeas))17","normalized(sqrt(PrecSeas))",TRUE,0,0.67,0.457115528918401,0.411875156328267,56
"(Intercept)31","(Intercept)",TRUE,0.0108,0.477,0.309543428775665,0.252005381173637,57
"normalized((sqrt_change))28","normalized((sqrt_change))",TRUE,2e-04,0.352,0.309543428775665,0.252005381173637,57
"normalized(sqrt(PrecSeas))18","normalized(sqrt(PrecSeas))",TRUE,0.003,0.506,0.309543428775665,0.252005381173637,57
"normalized((sqrt_change))29","normalized((sqrt_change))",TRUE,0.0255,0.223,0.130353320619124,0.0578827640040507,58
"normalized(sqrt(PrecSeas))19","normalized(sqrt(PrecSeas))",TRUE,0.0136,0.453,0.130353320619124,0.0578827640040507,58
"factor(accAfrica)111","factor(accAfrica)1",TRUE,0.0225,0.357,0.514563853932146,0.474110841759825,59
"normalized(sqrt(AnnualPrec))17","normalized(sqrt(AnnualPrec))",TRUE,0.0333,0.32,0.514563853932146,0.474110841759825,59
"normalized(sqrt(PrecSeas))20","normalized(sqrt(PrecSeas))",TRUE,0,0.792,0.514563853932146,0.474110841759825,59
"(Intercept)32","(Intercept)",TRUE,7e-04,0.84,0.296681707838546,0.238071850158425,60
"normalized((sqrt_change))30","normalized((sqrt_change))",TRUE,1e-04,0.49,0.296681707838546,0.238071850158425,60
"normalized(sqrt(curr_max95BodySize))22","normalized(sqrt(curr_max95BodySize))",TRUE,0.009,-0.387,0.296681707838546,0.238071850158425,60
"normalized(sqrt(TempSeas))27","normalized(sqrt(TempSeas))",TRUE,3e-04,-0.535,0.41572457100179,0.367034951918606,61
"normalized(sqrt(PrecSeas))21","normalized(sqrt(PrecSeas))",TRUE,0.0272,0.445,0.41572457100179,0.367034951918606,61
"(Intercept)33","(Intercept)",TRUE,0.0102,-0.686,0.365233242587436,0.312336012803056,62
"normalized(sqrt(curr_max95BodySize))23","normalized(sqrt(curr_max95BodySize))",TRUE,0.0111,0.409,0.365233242587436,0.312336012803056,62
"normalized(sqrt(AnnualPrec))18","normalized(sqrt(AnnualPrec))",TRUE,0.0175,0.464,0.365233242587436,0.312336012803056,62
"normalized(sqrt(PrecSeas))22","normalized(sqrt(PrecSeas))",TRUE,0,1.017,0.365233242587436,0.312336012803056,62
"(Intercept)34","(Intercept)",TRUE,0.004,0.756,0.405426163208464,0.355878343475836,63
"normalized((sqrt_change))31","normalized((sqrt_change))",TRUE,0.0036,0.379,0.405426163208464,0.355878343475836,63
"normalized(sqrt(TempSeas))28","normalized(sqrt(TempSeas))",TRUE,0.0087,-0.447,0.405426163208464,0.355878343475836,63
"factor(accAfrica)1:normalized(sqrt(CH_Mean))9","factor(accAfrica)1:normalized(sqrt(CH_Mean))",TRUE,0.007,0.898,0.405426163208464,0.355878343475836,63
"(Intercept)35","(Intercept)",TRUE,0.0441,0.508,0.236532367566927,0.172910064864171,64
"normalized((sqrt_change))32","normalized((sqrt_change))",TRUE,0.0274,0.276,0.236532367566927,0.172910064864171,64
"normalized(sqrt(TempSeas))29","normalized(sqrt(TempSeas))",TRUE,0.0054,-0.461,0.236532367566927,0.172910064864171,64
"factor(accAfrica)112","factor(accAfrica)1",TRUE,0.0444,-0.334,0.305687132354798,0.247827726717697,65
"normalized(sqrt(AnnualPrec))19","normalized(sqrt(AnnualPrec))",TRUE,0.0126,0.402,0.305687132354798,0.247827726717697,65
"normalized(sqrt(CH_Mean))3","normalized(sqrt(CH_Mean))",TRUE,0.0122,0.461,0.545182541516681,0.507281086643071,66
"normalized((sqrt_change))33","normalized((sqrt_change))",TRUE,0,-0.694,0.545182541516681,0.507281086643071,66
"normalized(I(MAT^2))9","normalized(I(MAT^2))",TRUE,0.012,0.369,0.545182541516681,0.507281086643071,66
"normalized(sqrt(TempSeas))30","normalized(sqrt(TempSeas))",TRUE,0.0138,0.321,0.545182541516681,0.507281086643071,66
"factor(accAfrica)1:normalized(sqrt(CH_Mean))10","factor(accAfrica)1:normalized(sqrt(CH_Mean))",TRUE,0.0311,-0.546,0.545182541516681,0.507281086643071,66
"normalized(I(MAT^2))10","normalized(I(MAT^2))",TRUE,0.0252,0.266,0.237626198633931,0.174095048520092,67
