"id"	"model"	"loglik"	"AIC"	"AICc"	"BIC"	"param.count"	"eigval1"	"eigval2"	"eigval3"	"0_alpha"	"1_alpha"	"sigma0"	"1_sigma.sq"	"theta0"	"theta_se0"	"theta_1"	"theta_se_1"
23	"OUMVA"	76751.9079733944	-153491.815946789	-153491.774567479	-153458.100546291	6	1000	490	190	0.000108750688544805	0.355086111156862	1.01579977012238e-09	1e-09	2274185.95954791	0	1.41440996797885	378322.791601257
24	"OUMA"	44361.9376498667	-88713.8752997334	-88713.845757636	-88685.7791326523	5	1e+11	4.3e+08	-3e+07	6.11602402179943e-09	0.265979558784614	1e-09	1e-09	3.00800784032646e-13	3.199993442753e-10	0.814883701175684	298.51303679301
25	"OUMA"	32082.7654866091	-64155.5309732182	-64155.5014311207	-64127.4348061371	5	4e+10	8.6e+08	2.1e+08	7.29750920175724e-08	0.230507019495843	2.24589980848318e-05	2.24589980848318e-05	3.38338640563772e-11	9.12600221548781e-10	0.900498353387086	24.2893376730972
26	"OUMA"	29351.1056646206	-58692.2113292413	-58692.1817871438	-58664.1151621602	5	4.2e+10	5.9e+08	1.6e+07	6.23994408124399e-08	0.240774726073316	2.55636649740786e-06	2.55636649740786e-06	5473427.02961078	113628804.098679	0.870824034447041	11.6845634533286
26	"OUMVA"	57604.9226216023	-115197.845243205	-115197.803863894	-115164.129842707	6	1300	460	92	0.00168844202635772	0.298727654255393	1.02335192791928e-09	1.0540251655395e-09	1.27410044507547e-14	1.38769076365438e-12	0.90093266579695	107.063152487818
27	"OUMA"	32473.0117447301	-64936.0234894602	-64935.9939473627	-64907.927322379	5	4.6e+10	2.2e+08	410000	4.63246763924865e-08	0.255896417380844	1.28650647658028e-05	1.28650647658028e-05	238732.205361359	0	0.805209382598158	2785.91225509084
28	"OUMA"	73075.2608806036	-146140.521761207	-146140.49221911	-146112.425594126	5	2.4e+09	960000	-2.9e+07	0.000215490517256	0.358055349595523	1.00031931326675e-09	1.00031931326675e-09	2.28637005197865e-15	0.00111737468828016	1.09582127643418	494970113208.252
29	"OUMA"	43007.0253439188	-86004.0506878376	-86004.0211457401	-85975.9545207564	5	4.2e+10	4100000	-4e+07	3.9759308191817e-07	0.240982514344806	1.01902149783453e-09	1.01902149783453e-09	-3.13180901766672e-09	0	0.812304334989374	14.2302195984242
3	"OUMA"	29888.084216114	-59766.168432228	-59766.1388901305	-59738.0722651469	5	4.1e+10	7.2e+08	-8.6e+07	5.94208987203849e-09	0.232334761812346	1.47570007688879e-05	1.47570007688879e-05	-23886.5017212554	0	0.973860390250622	26.1311808807552
30	"OUMVA"	34797.9204819	-69583.8409638001	-69583.7995844897	-69550.1255633027	6	1200	490	99	0.375397890942553	0.747422255761041	1.00014715764889e-09	7.20319882545642e-05	7.68846797824661e-19	0	1.09582127643418	69633621725479.8
30	"OUMA"	57651.3939165439	-115292.787833088	-115292.75829099	-115264.691666007	5	2.3e+08	5500	-4e+08	6.904151565153e-05	0.279773719470402	3.13137148964007e-08	3.13137148964007e-08	135989.923296306	0	0.96053445377656	31.2166441134137
