"id"	"model"	"loglik"	"AIC"	"AICc"	"BIC"	"param.count"	"eigval1"	"eigval2"	"eigval3"	"X0_alpha"	"X1_alpha"	"sigma0"	"X1_sigma.sq"	"theta0"	"theta_se0"	"theta_1"	"theta_se_1"
"ouwie_Afr_BM_42"	"OUMA"	38631.5918280665	-77253.183656133	-77253.1541140356	-77225.0874890519	5	2.6e+09	8.5e+07	23000	0.000216044354940314	0.672337328381397	1.01643392281006e-09	1.01643392281006e-09	-2549472.90959712	9.09270025155961e+24	1.57958680544139	0
"ouwie_Afr_BM_42"	"OUMVA"	39965.5328578652	-79919.0657157305	-79919.0243364201	-79885.3503152331	6	1000	60	29	0.00917003575675989	0.550335243991934	1.00013658967581e-09	1.5185273824473e-09	2.3055164011292e-11	0	1.06750744419145	146993925858626
"ouwie_Afr_BM_43"	"OUMA"	25448.7174638533	-50887.4349277065	-50887.405385609	-50859.3387606254	5	1700000	65000	490	2.13003436122917	7.58199830304246e-09	1e-09	1e-09	2.14524192193759	750408472.573752	2.4987182691568e-102	1.32796561258921e-93
"ouwie_Afr_BM_44"	"OUMVA"	39568.2368207057	-79124.4736414114	-79124.4322621011	-79090.758240914	6	1000	61	28	0.0975562258689679	0.661923357285613	1.00009071359847e-09	1.09893327958444e-09	5.0466088995373e-10	56903.6188866548	-0.388934149806681	1760775484755206
"ouwie_Afr_BM_44"	"OUMA"	50763.8015800858	-101517.603160172	-101517.573618074	-101489.50699309	5	4.3e+09	1e+09	-8.1e+07	8.39045469472735e-05	0.826351811277604	1e-09	1e-09	-206986.39156337	2.81000882028675e+32	-0.692180955081112	1.66206001579425e+27
"ouwie_Afr_BM_45"	"OUMA"	16218.2694104448	-32426.5388208895	-32426.509278792	-32398.4426538084	5	720000	3500	980	8.57208800437265e-08	0.230034432608591	1e-09	1e-09	-34106970.7060275	484588.110116656	9.12499722156935	0.813405490674305
"ouwie_Afr_BM_46"	"OUMA"	16275.4649322302	-32540.9298644605	-32540.900322363	-32512.8336973794	5	2700000	6800	1300	6.40830913850251e-07	0.224658372528048	1e-09	1e-09	34513.6895005422	1768.69258965788	0.550333511388388	0.0630473911271509
"ouwie_Afr_BM_47"	"OUMA"	16317.5354999212	-32625.0709998424	-32625.041457745	-32596.9748327613	5	460000	5500	1300	2.85765134796208e-09	0.254567164918201	1e-09	1e-09	1.91740236597717e-12	0	0.572676185283132	918.7349210272
"ouwie_Afr_BM_48"	"OUMA"	25368.1138883888	-50726.2277767775	-50726.19823468	-50698.1316096964	5	1.3e+08	11000	-5.3e+08	3.31869555207208	0.800694401041953	1e-09	1e-09	0.517151406598906	5.29138396263982e+66	1.85467187706229e-25	4.35291806609762e+37
"ouwie_Afr_BM_49"	"OUMA"	25931.8114375397	-51853.6228750794	-51853.5933329819	-51825.5267079983	5	55000	3900	-210000	2.49723096991894	3.38957691699618e-09	1e-09	1e-09	1.58703942960624	2.58132482026901e+61	7.62702932602963e-61	1.05202310181234
